,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
0,2023-10-20,175.31,175.42,172.6401,173.37,173.37,43471524,43471524,-1.94,-1.10661,173.81,"October 20, 23",-0.0110661
1,2023-10-19,176.04,177.84,175.19,175.46,175.46,60261979,55176703,-0.58,-0.32947,176.21,"October 19, 23",-0.0032947
2,2023-10-18,175.58,177.575,175.11,175.84,175.84,54764375,54764400,0.26,0.14808,176.35,"October 18, 23",0.0014808
3,2023-10-17,176.645,178.42,174.8,177.15,177.15,57549350,57549400,0.505,0.28588,176.86,"October 17, 23",0.0028588
4,2023-10-16,176.75,179.075,176.51,178.72,178.72,52516984,52517000,1.97,1.11,178.15,"October 16, 23",0.0111
5,2023-10-13,181.42,181.93,178.14,178.85,178.85,51412082,51427100,-2.57,-1.42,179.42,"October 13, 23",-0.0142
6,2023-10-12,180.07,182.34,179.04,180.71,180.71,56743119,56743100,0.64,0.35542,180.95,"October 12, 23",0.0035542
7,2023-10-11,178.2,179.85,177.6,179.8,179.8,47544848,47551100,1.6,0.89787,178.95,"October 11, 23",0.0089787
8,2023-10-10,178.1,179.72,177.95,178.39,178.39,43698019,43698000,0.29,0.16283,178.69,"October 10, 23",0.0016283
9,2023-10-09,176.81,179.05,175.8,178.99,178.99,42344772,42390800,2.18,1.23,177.87,"October 09, 23",0.0123
10,2023-10-06,173.8,177.99,173.18,177.49,177.49,57266675,57224100,3.69,2.12,176.34,"October 06, 23",0.0212
11,2023-10-05,173.79,175.45,172.68,174.91,174.91,48527918,48527900,1.12,0.64446,174.23,"October 05, 23",0.0064446
12,2023-10-04,171.09,174.21,170.97,173.66,173.66,53006286,53020300,2.57,1.5,172.94,"October 04, 23",0.015
13,2023-10-03,172.255,173.63,170.82,172.4,172.4,49594613,49594600,0.145,0.08417753,172.13,"October 03, 23",0.0008417753
14,2023-10-02,171.22,174.3,170.93,173.75,173.75,52156935,52164500,2.53,1.48,173.29,"October 02, 23",0.0148
15,2023-09-29,172.02,173.07,170.341,171.21,171.21,51861083,51814200,-0.81,-0.47088,171.6,"September 29, 23",-0.0047088
16,2023-09-28,169.34,172.03,167.62,170.69,170.69,56294419,56294400,1.35,0.79721,170.3,"September 28, 23",0.0079721
17,2023-09-27,172.62,173.04,169.05,170.43,170.43,66920708,66921800,-2.19,-1.27,170.53,"September 27, 23",-0.0127
18,2023-09-26,174.82,175.2,171.66,171.96,171.96,64548945,64588900,-2.86,-1.64,172.72,"September 26, 23",-0.0164
19,2023-09-25,174.2,176.97,174.15,176.08,176.08,46172740,46172700,1.88,1.08,175.67,"September 25, 23",0.0108
20,2023-09-22,174.67,177.079,174.05,174.79,174.79,56688985,56663000,0.12,0.06870098,175.47,"September 22, 23",0.0006870098
21,2023-09-21,174.55,176.3,173.86,173.93,173.93,62449116,63047900,-0.62,-0.3552,174.86,"September 21, 23",-0.003552
22,2023-09-20,179.26,179.695,175.4,175.49,175.49,58436181,58436200,-3.77,-2.1,176.97,"September 20, 23",-0.021
23,2023-09-19,177.52,179.63,177.13,179.07,179.07,51826941,51826900,1.55,0.87314,178.43,"September 19, 23",0.0087314
24,2023-09-18,176.48,179.38,176.17,177.97,177.97,67257573,67257600,1.49,0.84429,177.89,"September 18, 23",0.0084429
25,2023-09-15,176.48,176.495,173.82,175.01,175.01,109259461,109205100,-1.47,-0.83296,175.08,"September 15, 23",-0.0083296
26,2023-09-14,174.0,176.1,173.58,175.74,175.74,60345757,60895800,1.74,1.0,175.37,"September 14, 23",0.01
27,2023-09-13,176.51,177.3,173.98,174.21,174.21,84267928,84267900,-2.3,-1.3,175.04,"September 13, 23",-0.013
28,2023-09-12,179.49,180.13,174.82,176.3,176.3,90316192,90370200,-3.19,-1.78,176.7,"September 12, 23",-0.0178
29,2023-09-11,180.07,180.3,177.34,179.36,179.36,58953052,58953100,-0.71,-0.39429,178.85,"September 11, 23",-0.0039429
30,2023-09-08,178.35,180.239,177.79,178.18,178.18,65402066,65551300,-0.17,-0.09531819,179.07,"September 08, 23",-0.0009531819
31,2023-09-07,175.18,178.21,173.54,177.56,177.56,112416703,112488800,2.38,1.36,176.73,"September 07, 23",0.0136
32,2023-09-06,188.4,188.85,181.47,182.91,182.91,81755800,81755800,-5.49,-2.91,184.41,"September 06, 23",-0.0291
33,2023-09-05,188.28,189.98,187.61,189.7,189.7,45280000,45280000,1.42,0.7542,189.1,"September 05, 23",0.007542
34,2023-09-01,189.49,189.92,188.28,189.46,189.46,45732600,45732600,-0.03,-0.01583197,189.22,"September 01, 23",-0.0001583197
35,2023-08-31,187.84,189.12,187.48,187.87,187.87,60794500,60794500,0.03,0.01597104,188.16,"August 31, 23",0.0001597104
36,2023-08-30,184.94,187.85,184.74,187.65,187.65,60813900,60813900,2.71,1.47,186.75,"August 30, 23",0.0147
37,2023-08-29,179.7,184.9,179.5,184.12,184.12,53003900,53003900,4.42,2.46,182.84,"August 29, 23",0.0246
38,2023-08-28,180.09,180.59,178.55,180.19,180.19,43820700,43820700,0.1,0.05552779,179.78,"August 28, 23",0.0005552779
39,2023-08-25,177.38,179.15,175.82,178.61,178.61,51449600,51449600,1.23,0.69343,177.86,"August 25, 23",0.0069343
40,2023-08-24,180.67,181.1,176.01,176.38,176.38,54945800,54945800,-4.29,-2.37,177.83,"August 24, 23",-0.0237
41,2023-08-23,178.52,181.55,178.33,181.12,181.12,52722800,52722800,2.6,1.46,180.33,"August 23, 23",0.0146
42,2023-08-22,177.06,177.68,176.25,177.23,177.23,42084200,42084200,0.17,0.09601265,177.05,"August 22, 23",0.0009601265
43,2023-08-21,175.07,176.13,173.74,175.84,175.84,46311900,46311900,0.77,0.43982,175.24,"August 21, 23",0.0043982
44,2023-08-18,172.3,175.1,171.96,174.49,174.49,61114200,61114200,2.19,1.27,173.85,"August 18, 23",0.0127
45,2023-08-17,177.14,177.51,173.48,174.0,174.0,66062900,66062900,-3.14,-1.77,175.0,"August 17, 23",-0.0177
46,2023-08-16,177.13,178.54,176.5,176.57,176.57,46964900,46964900,-0.56,-0.31615,177.2,"August 16, 23",-0.0031615
47,2023-08-15,178.88,179.48,177.05,177.45,177.45,43622600,43622600,-1.43,-0.79942,177.99,"August 15, 23",-0.0079942
48,2023-08-14,177.97,179.69,177.31,179.46,179.46,43675600,43675600,1.49,0.83722,178.82,"August 14, 23",0.0083722
49,2023-08-11,177.32,178.62,176.55,177.79,177.79,51988100,51988100,0.47,0.26506,177.65,"August 11, 23",0.0026506
