,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
0,2023-10-20,128.05,128.17,124.97,125.695,125.695,41537419,41537419,-2.36,-1.83913,126.28,"October 20, 23",-0.0183913
1,2023-10-19,130.565,132.24,127.473,128.4,128.4,58998454,58998454,-2.16,-1.65818,129.37,"October 19, 23",-0.0165818
2,2023-10-18,129.9,130.6699,127.51,128.13,128.13,42623479,42699500,-1.77,-1.36,128.95,"October 18, 23",-0.0136
3,2023-10-17,130.39,132.58,128.71,131.47,131.47,49344550,49344600,1.08,0.82828,131.02,"October 17, 23",0.0082828
4,2023-10-16,130.69,133.07,130.425,132.55,132.55,42832918,42832900,1.86,1.42,132.12,"October 16, 23",0.0142
5,2023-10-13,132.98,133.3145,128.95,129.79,129.79,45824685,45786600,-3.19,-2.4,130.61,"October 13, 23",-0.024
6,2023-10-12,132.17,134.48,131.23,132.33,132.33,55528581,55528600,0.16,0.12106,132.84,"October 12, 23",0.0012106
7,2023-10-11,129.74,132.05,129.61,131.83,131.83,40513342,40741800,2.09,1.61,130.78,"October 11, 23",0.0161
8,2023-10-10,128.82,130.74,128.05,129.48,129.48,42106579,42178600,0.66,0.51234,129.66,"October 10, 23",0.0051234
9,2023-10-09,126.22,128.79,124.76,128.26,128.26,38746138,38773700,2.04,1.62,126.99,"October 09, 23",0.0162
10,2023-10-06,124.16,128.45,124.13,127.96,127.96,46814698,46795900,3.8,3.06,126.72,"October 06, 23",0.0306
11,2023-10-05,126.71,126.73,124.33,125.96,125.96,39657043,39660600,-0.75,-0.5919,125.62,"October 05, 23",-0.005919
12,2023-10-04,126.06,127.36,125.68,127.0,127.0,44203870,44203900,0.94,0.74568,126.58,"October 04, 23",0.0074568
13,2023-10-03,128.06,128.52,124.2544,124.72,124.72,51559991,51565000,-3.34,-2.61,125.47,"October 03, 23",-0.0261
14,2023-10-02,127.28,130.47,126.54,129.46,129.46,48029744,48029700,2.18,1.71,128.93,"October 02, 23",0.0171
15,2023-09-29,128.2,129.15,126.32,127.12,127.12,62411730,62377600,-1.08,-0.84243,127.58,"September 29, 23",-0.0084243
16,2023-09-28,124.04,126.5801,123.04,125.98,125.98,54554968,54555000,1.94,1.56,125.08,"September 28, 23",0.0156
17,2023-09-27,125.76,127.48,124.13,125.98,125.98,66445149,66553400,0.22,0.17494,125.43,"September 27, 23",0.0017494
18,2023-09-26,130.12,130.39,125.28,125.98,125.98,73007107,73048200,-4.14,-3.18,126.95,"September 26, 23",-0.0318
19,2023-09-25,129.36,131.78,128.77,131.27,131.27,46017825,46017800,1.91,1.48,130.85,"September 25, 23",0.0148
20,2023-09-22,131.11,132.03,128.52,129.12,129.12,59604348,59859500,-1.99,-1.52,130.16,"September 22, 23",-0.0152
21,2023-09-21,131.94,132.24,129.31,129.33,129.33,70343342,70234800,-2.61,-1.98,130.54,"September 21, 23",-0.0198
