,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
0,2023-10-20,298.5,303.23,298.1,300.86,300.86,1651261,1651261,2.36,0.79061977,300.73,"October 20, 23",0.0079061977
1,2023-10-19,301.96,305.336,298.63,299.19,299.19,3193366,3191286,-2.77,-0.91734,301.9,"October 19, 23",-0.0091734
2,2023-10-18,307.0,307.22,301.48,301.96,301.96,3460269,3460300,-5.04,-1.64,303.39,"October 18, 23",-0.0164
3,2023-10-17,313.38,316.18,305.91,309.36,309.36,4122960,4123000,-4.02,-1.28,310.06,"October 17, 23",-0.0128
4,2023-10-16,313.18,315.9,310.25,314.39,314.39,2251156,2273900,1.21,0.38636,314.11,"October 16, 23",0.0038636
5,2023-10-13,312.0,316.18,308.174,309.3,309.3,1785777,1785200,-2.7,-0.86538,311.17,"October 13, 23",-0.0086538
6,2023-10-12,314.15,314.25,308.02,309.85,309.85,1727714,1727700,-4.3,-1.37,310.39,"October 12, 23",-0.0137
7,2023-10-11,315.43,316.63,311.6,313.02,313.02,1672491,1672500,-2.41,-0.76404,313.07,"October 11, 23",-0.0076404
8,2023-10-10,314.47,316.85,312.29,314.77,314.77,1194030,1193800,0.3,0.09539861,314.96,"October 10, 23",0.0009539861
9,2023-10-09,308.9,313.4761,308.37,312.61,312.61,1094602,1094400,3.71,1.2,311.04,"October 09, 23",0.012
10,2023-10-06,308.11,315.32,307.17,312.48,312.48,1595270,1595100,4.37,1.42,312.37,"October 06, 23",0.0142
11,2023-10-05,307.36,310.55,304.2075,310.5,310.5,1584764,1584600,3.14,1.02,308.83,"October 05, 23",0.0102
12,2023-10-04,304.85,309.06,303.48,308.6,308.6,1872003,1872000,3.75,1.23,306.76,"October 04, 23",0.0123
13,2023-10-03,315.27,315.68,304.39,306.12,306.12,3118598,3118600,-9.15,-2.9,307.81,"October 03, 23",-0.029
14,2023-10-02,322.03,323.58,317.1,318.5,318.5,1303821,1303800,-3.53,-1.1,318.94,"October 02, 23",-0.011
15,2023-09-29,327.2,327.96,322.27,323.57,323.57,1403878,1403900,-3.63,-1.11,324.46,"September 29, 23",-0.0111
16,2023-09-28,320.21,326.84,320.21,325.2,325.2,1389644,1389600,4.99,1.56,324.5,"September 28, 23",0.0156
17,2023-09-27,324.98,325.0,318.98,321.95,321.95,1493003,1493000,-3.03,-0.93237,321.83,"September 27, 23",-0.0093237
18,2023-09-26,325.61,327.43,322.42,323.82,323.82,1481824,1481800,-1.79,-0.54974,324.2,"September 26, 23",-0.0054974
