,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
0,2023-10-20,152.74,153.87,152.33,153.59,153.59,4515944,4515944,0.85,0.55650124,153.26,"October 20, 23",0.0055650124
1,2023-10-19,151.67,153.1093,150.15,152.32,152.32,7732327,6745971,0.65,0.42856,151.89,"October 19, 23",0.0042856
2,2023-10-18,155.41,155.95,152.05,152.73,152.73,9097348,9097300,-2.68,-1.72,152.96,"October 18, 23",-0.0172
3,2023-10-17,155.98,158.9499,154.6085,156.09,156.09,12244374,12244400,0.11,0.07052186,156.24,"October 17, 23",0.0007052186
4,2023-10-16,157.82,158.25,156.84,157.53,157.53,6408142,6408100,-0.29,-0.18375,157.5,"October 16, 23",-0.0018375
5,2023-10-13,156.73,157.36,156.05,156.85,156.85,5360347,5359800,0.12,0.07656479,156.75,"October 13, 23",0.0007656479
6,2023-10-12,155.92,156.5599,155.0663,156.33,156.33,5792419,5792400,0.41,0.26296,156.06,"October 12, 23",0.0026296
7,2023-10-11,158.46,159.05,156.04,156.18,156.18,6922907,6922900,-2.28,-1.44,156.68,"October 11, 23",-0.0144
8,2023-10-10,158.38,159.27,157.9,158.36,158.36,5273531,5273500,-0.02,-0.01262786,158.49,"October 10, 23",-0.0001262786
9,2023-10-09,157.18,158.88,157.09,158.54,158.54,4414322,4414100,1.36,0.86525,158.16,"October 09, 23",0.0086525
10,2023-10-06,157.08,158.3,156.59,157.64,157.64,5802226,5801100,0.56,0.35651,157.61,"October 06, 23",0.0035651
11,2023-10-05,156.27,158.0399,156.07,157.14,157.14,5993541,5993300,0.87,0.55673,157.06,"October 05, 23",0.0055673
12,2023-10-04,155.57,155.93,154.57,155.52,155.52,4955308,4955200,-0.05,-0.03213987,155.31,"October 04, 23",-0.0003213987
13,2023-10-03,154.68,155.495,153.89,155.34,155.34,5741035,5740800,0.66,0.42669,154.85,"October 03, 23",0.0042669
14,2023-10-02,155.42,155.42,153.32,155.15,155.15,7259935,7259700,-0.27,-0.17372,154.71,"October 02, 23",-0.0017372
15,2023-09-29,157.37,157.6,155.35,155.75,155.75,7680711,7679900,-1.62,-1.03,155.82,"September 29, 23",-0.0103
16,2023-09-28,157.5,157.96,156.22,156.88,156.88,7861879,7861900,-0.62,-0.39365,156.91,"September 28, 23",-0.0039365
17,2023-09-27,158.58,158.76,155.255,157.11,157.11,10210686,10211600,-1.47,-0.92698,156.98,"September 27, 23",-0.0092698
18,2023-09-26,159.81,160.08,158.86,159.02,159.02,4904860,4904800,-0.79,-0.49434,159.24,"September 26, 23",-0.0049434
19,2023-09-25,160.07,160.36,158.73,160.26,160.26,6722584,6722500,0.19,0.1187,159.89,"September 25, 23",0.001187
20,2023-09-22,161.3,161.4,160.25,160.5,160.5,4977354,4976700,-0.8,-0.49597,160.76,"September 22, 23",-0.0049597
21,2023-09-21,162.57,163.5,161.59,161.66,161.66,4526772,4526700,-0.91,-0.55976,162.13,"September 21, 23",-0.0055976
22,2023-09-20,162.19,163.5354,161.66,162.91,162.91,3837595,3837400,0.72,0.44392,162.95,"September 20, 23",0.0044392
23,2023-09-19,162.25,162.85,161.38,162.2,162.2,5291351,5550800,-0.05,-0.03081664,162.04,"September 19, 23",-0.0003081664
24,2023-09-18,162.12,163.145,160.75,162.47,162.47,5789146,5789000,0.35,0.21589,162.34,"September 18, 23",0.0021589
25,2023-09-15,163.98,164.82,161.21,161.45,161.45,13392074,13388900,-2.53,-1.54,162.19,"September 15, 23",-0.0154
26,2023-09-14,164.68,165.27,163.44,163.74,163.74,7758552,7758400,-0.94,-0.5708,164.14,"September 14, 23",-0.005708
27,2023-09-13,163.76,164.95,163.0,163.99,163.99,7397520,7397500,0.23,0.14045,164.03,"September 13, 23",0.0014045
28,2023-09-12,162.22,163.925,161.53,163.58,163.58,6040006,6045800,1.36,0.83837,163.14,"September 12, 23",0.0083837
29,2023-09-11,161.06,162.69,160.45,162.66,162.66,6309295,6309300,1.6,0.99342,162.0,"September 11, 23",0.0099342
30,2023-09-08,159.59,160.68,159.19,160.56,160.56,6958201,6957000,0.97,0.60781,160.12,"September 08, 23",0.0060781
31,2023-09-07,159.14,161.06,158.98,160.03,160.03,9931811,9931800,0.89,0.55926,160.28,"September 07, 23",0.0055926
