,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
0,2023-10-20,405.63,410.64,398.01,400.5,400.5,10192886,10192886,-5.13,-1.2647,403.05,"October 20, 23",-0.012647
1,2023-10-19,404.74,408.95,392.2601,401.77,401.77,27797167,27327924,-2.97,-0.7338,400.36,"October 19, 23",-0.007338
2,2023-10-18,351.0,354.79,344.73,346.19,346.19,11426847,11429600,-4.81,-1.37,360.25,"October 18, 23",-0.0137
3,2023-10-17,361.1,362.7049,353.89,355.72,355.72,5908412,5908400,-5.38,-1.49,357.51,"October 17, 23",-0.0149
4,2023-10-16,356.21,363.0799,354.77,360.82,360.82,5128947,5128900,4.61,1.29,359.63,"October 16, 23",0.0129
5,2023-10-13,355.64,358.93,352.05,355.68,355.68,6316320,6312600,0.04,0.01124733,354.96,"October 13, 23",0.0001124733
6,2023-10-12,366.48,368.83,359.05,361.2,361.2,7366711,7376100,-5.28,-1.44,363.13,"October 12, 23",-0.0144
7,2023-10-11,372.775,377.81,365.34,365.93,365.93,9151395,9151400,-6.845,-1.84,369.76,"October 11, 23",-0.0184
8,2023-10-10,385.58,388.7,372.25,373.32,373.32,7288939,7288900,-12.26,-3.18,378.94,"October 10, 23",-0.0318
9,2023-10-09,378.05,387.17,377.755,385.95,385.95,3299802,3299800,7.9,2.09,383.92,"October 09, 23",0.0209
10,2023-10-06,368.43,382.52,367.77,381.51,381.51,4778118,4773400,13.08,3.55,378.06,"October 06, 23",0.0355
11,2023-10-05,378.01,378.5999,367.24,372.59,372.59,5034773,5034800,-5.42,-1.43,370.97,"October 05, 23",-0.0143
12,2023-10-04,376.5,380.22,373.58,376.9,376.9,4303658,4303700,0.4,0.10624,376.64,"October 04, 23",0.0010624
13,2023-10-03,377.11,394.9,372.8492,376.75,376.75,8878134,8878100,-0.36,-0.09546286,381.87,"October 03, 23",-0.0009546286
14,2023-10-02,377.48,384.808,376.8,380.33,380.33,3102101,3102100,2.85,0.75501,380.32,"October 02, 23",0.0075501
15,2023-09-29,380.0,382.58,375.35,377.6,377.6,4205298,4198700,-2.4,-0.63158,377.91,"September 29, 23",-0.0063158
16,2023-09-28,375.6,378.96,371.1,376.36,376.36,4369906,4369900,0.76,0.20234,375.64,"September 28, 23",0.0020234
17,2023-09-27,382.4,384.223,376.25,377.59,377.59,3843521,3843500,-4.81,-1.26,379.09,"September 27, 23",-0.0126
18,2023-09-26,382.88,384.56,377.355,379.25,379.25,4089392,4089400,-3.63,-0.94808,380.51,"September 26, 23",-0.0094808
19,2023-09-25,382.9,386.62,380.81,384.8,384.8,3757278,3757300,1.9,0.49621,383.72,"September 25, 23",0.0049621
20,2023-09-22,385.0,386.88,378.36,379.81,379.81,3699796,3692800,-5.19,-1.35,381.8,"September 22, 23",-0.0135
21,2023-09-21,386.5,395.8999,383.42,384.15,384.15,5556388,5547900,-2.35,-0.60802,387.44,"September 21, 23",-0.0060802
