,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
0,2023-10-20,418.9,424.7,410.78,415.18,415.18,40524764,40524764,-3.72,-0.88804011,416.89,"October 20, 23",-0.0088804011
1,2023-10-19,428.11,432.97,418.82,421.01,421.01,49128826,48585352,-7.1,-1.66,425.74,"October 19, 23",-0.0166
2,2023-10-18,425.91,432.19,418.25,421.96,421.96,62726794,62729400,-3.95,-0.92743,424.14,"October 18, 23",-0.0092743
3,2023-10-17,440.0,447.54,424.8,439.38,439.38,81218032,81233300,-0.62,-0.14091,438.72,"October 17, 23",-0.0014091
4,2023-10-16,450.63,462.25,449.12,460.95,460.95,37509924,37509900,10.32,2.29,458.29,"October 16, 23",0.0229
5,2023-10-13,469.6,471.16,452.8,454.61,454.61,47535099,47411500,-14.99,-3.19,459.97,"October 13, 23",-0.0319
6,2023-10-12,467.77,476.09,463.3,469.45,469.45,48114000,48132500,1.68,0.35915,470.78,"October 12, 23",0.0035915
7,2023-10-11,461.96,468.59,460.5,468.06,468.06,37813689,37813700,6.1,1.32,464.41,"October 11, 23",0.0132
8,2023-10-10,453.1,462.59,450.88,457.98,457.98,36858208,36858200,4.88,1.08,458.08,"October 10, 23",0.0108
9,2023-10-09,448.42,456.05,443.68,452.73,452.73,40967472,40967500,4.31,0.96115,449.57,"October 09, 23",0.0096115
10,2023-10-06,441.93,457.89,440.26,457.62,457.62,43439102,43339700,15.69,3.55,451.35,"October 06, 23",0.0355
11,2023-10-05,440.5,449.0,438.88,446.88,446.88,39348309,39348300,6.38,1.45,444.55,"October 05, 23",0.0145
12,2023-10-04,437.42,441.43,432.9201,440.41,440.41,36182086,36182100,2.99,0.68355,437.97,"October 04, 23",0.0068355
13,2023-10-03,448.08,451.3,432.46,435.17,435.17,47084954,47085000,-12.91,-2.88,440.14,"October 03, 23",-0.0288
14,2023-10-02,440.3,451.75,438.61,447.82,447.82,43329821,43329800,7.52,1.71,446.53,"October 02, 23",0.0171
15,2023-09-29,438.27,441.44,433.0694,434.99,434.99,39782993,39722100,-3.28,-0.7484,437.04,"September 29, 23",-0.007484
16,2023-09-28,424.6,434.4631,421.15,430.89,430.89,42466279,42466300,6.29,1.48,429.4,"September 28, 23",0.0148
17,2023-09-27,423.3,428.72,416.2901,424.68,424.68,44493520,44493500,1.38,0.32601,422.42,"September 27, 23",0.0032601
18,2023-09-26,420.01,428.2,416.55,419.11,419.11,40228209,40228200,-0.9,-0.21428,421.46,"September 26, 23",-0.0021428
19,2023-09-25,415.91,425.36,411.77,422.22,422.22,41909096,41909100,6.31,1.52,420.97,"September 25, 23",0.0152
20,2023-09-22,415.72,421.15,412.31,416.1,416.1,47909231,47817500,0.38,0.09140768,417.15,"September 22, 23",0.0009140768
21,2023-09-21,415.83,421.0,409.8,410.17,410.17,45044396,44893000,-5.66,-1.36,414.31,"September 21, 23",-0.0136
22,2023-09-20,436.0,439.03,422.23,422.39,422.39,36706369,36710800,-13.61,-3.12,431.31,"September 20, 23",-0.0312
23,2023-09-19,438.33,439.66,430.02,435.2,435.2,37306424,37306400,-3.13,-0.71407,434.55,"September 19, 23",-0.0071407
24,2023-09-18,427.48,442.42,420.0,439.66,439.66,50022279,50027100,12.18,2.85,435.81,"September 18, 23",0.0285
25,2023-09-15,453.41,455.99,438.08,439.0,439.0,50585211,50571300,-14.41,-3.18,443.17,"September 15, 23",-0.0318
26,2023-09-14,459.5,459.8699,451.31,455.81,455.81,37009720,37009700,-3.69,-0.80305,455.76,"September 14, 23",-0.0080305
27,2023-09-13,446.0,459.3,445.03,454.85,454.85,39828735,39835500,8.85,1.98,454.12,"September 13, 23",0.0198
28,2023-09-12,447.38,456.73,445.31,448.7,448.7,34924934,34925600,1.32,0.29505,451.76,"September 12, 23",0.0029505
29,2023-09-11,461.48,461.63,443.12,451.78,451.78,47391755,47396600,-9.7,-2.1,449.38,"September 11, 23",-0.021
