,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
0,2023-10-20,160.83,161.105,158.89,158.9768,158.9768,3107726,3107726,-1.85,-1.15227,159.66,"October 20, 23",-0.0115227
1,2023-10-19,161.43,161.8221,160.22,160.77,160.77,3912400,3197033,-0.66,-0.40885,160.98,"October 19, 23",-0.0040885
2,2023-10-18,161.88,162.36,160.72,161.54,161.54,3519908,3519700,-0.34,-0.21003,161.71,"October 18, 23",-0.0021003
3,2023-10-17,160.74,161.711,160.39,161.42,161.42,3631124,3631000,0.68,0.42304,161.17,"October 17, 23",0.0042304
4,2023-10-16,160.54,162.08,160.32,161.21,161.21,4782670,4782700,0.67,0.41734,161.4,"October 16, 23",0.0041734
5,2023-10-13,159.26,160.46,158.9,159.83,159.83,4603628,4603000,0.57,0.35791,159.86,"October 13, 23",0.0035791
6,2023-10-12,158.53,159.31,157.77,158.95,158.95,4504892,4504700,0.42,0.26493,158.75,"October 12, 23",0.0026493
7,2023-10-11,158.26,159.49,157.04,158.23,158.23,4008925,4008700,-0.03,-0.01895615,158.13,"October 11, 23",-0.0001895615
8,2023-10-10,156.23,158.08,155.66,157.6,157.6,5338148,5338100,1.37,0.87691,157.33,"October 10, 23",0.0087691
9,2023-10-09,155.08,155.855,153.26,155.84,155.84,7007514,7007500,0.76,0.49007,154.85,"October 09, 23",0.0049007
10,2023-10-06,158.65,158.99,151.65,156.41,156.41,14205389,14202800,-2.24,-1.41,154.57,"October 06, 23",-0.0141
11,2023-10-05,160.45,160.96,159.0,159.08,159.08,4756535,4756500,-1.37,-0.85385,159.48,"October 05, 23",-0.0085385
12,2023-10-04,159.65,161.05,159.01,161.0,161.0,5251946,5251900,1.35,0.8456,160.55,"October 04, 23",0.008456
13,2023-10-03,159.69,160.7475,158.6801,159.09,159.09,3751058,3751100,-0.6,-0.37573,159.35,"October 03, 23",-0.0037573
14,2023-10-02,159.49,160.27,158.31,160.1,160.1,4330947,4330900,0.61,0.38247,159.68,"October 02, 23",0.0038247
